file,score_1_to_10,lines,ruff_issue_count,key_signals,improvement
src/services/email.py,8.2,57,0,clean_static_signals,Keep stable; preserve with tests
src/services/monitoring.py,8.2,38,0,clean_static_signals,Keep stable; preserve with tests
src/services/registry.py,8.2,276,0,clean_static_signals,Keep stable; preserve with tests
src/tools/__init__.py,8.2,15,0,clean_static_signals,Keep stable; preserve with tests
src/tools/filesystem.py,8.2,170,0,clean_static_signals,Keep stable; preserve with tests
src/tools/handoff.py,8.2,69,0,clean_static_signals,Keep stable; preserve with tests
src/tools/lsp.py,7.9,498,0,size=498L,Extract helper functions/components
src/tools/mcp_client.py,8.2,147,0,clean_static_signals,Keep stable; preserve with tests
src/tools/repo_map.py,8.2,331,0,clean_static_signals,Keep stable; preserve with tests
src/tools/sandbox.py,7.0,565,10,ruff=10; W293:9; I001:1; size=565L,Run formatter + lint autofix | Extract helper functions/components
src/tools/tool_registry.py,8.2,142,0,clean_static_signals,Keep stable; preserve with tests
src/tools/tree_sitter_utils.py,8.2,240,0,clean_static_signals,Keep stable; preserve with tests
src/tui/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
src/tui/app.py,7.1,1457,0,size=1457L,Split into smaller modules
src/tui/overlays/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/command_palette.py,8.2,145,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/help.py,8.2,127,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/layout_editor.py,8.2,127,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/mode_picker.py,8.2,225,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/onboarding.py,7.9,432,0,size=432L,Extract helper functions/components
src/tui/overlays/project_setup.py,8.2,110,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/receipt.py,8.2,127,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/recovery.py,8.2,80,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/session_browser.py,8.2,161,0,clean_static_signals,Keep stable; preserve with tests
src/tui/overlays/settings.py,7.6,764,1,ruff=1; W293:1; size=764L,Run formatter + lint autofix | Extract helper functions/components
src/tui/overlays/tier_selector.py,8.2,143,0,clean_static_signals,Keep stable; preserve with tests
src/tui/panels/__init__.py,8.2,1,0,clean_static_signals,Keep stable; preserve with tests
